Carga (Load),Rota 1,Rota 2,Rota 3,Rota 4,Rota 5
1,0.026,0.024,0.013,0.021,0.025
2,0.053,0.041,0.044,0.045,0.039
3,0.066,0.083,0.06,0.064,0.074
4,0.072,0.1,0.071,0.096,0.087
5,0.105,0.107,0.112,0.09,0.105
6,0.136,0.151,0.139,0.125,0.144
7,0.168,0.146,0.158,0.154,0.151
8,0.181,0.182,0.181,0.177,0.188
9,0.195,0.207,0.185,0.195,0.21
10,0.206,0.227,0.226,0.206,0.21
11,0.237,0.24,0.278,0.238,0.249
12,0.269,0.256,0.259,0.261,0.28
13,0.3,0.293,0.298,0.272,0.305
14,0.297,0.291,0.325,0.326,0.302
15,0.316,0.334,0.353,0.332,0.307
16,0.35,0.348,0.35,0.35,0.349
17,0.358,0.393,0.385,0.387,0.391
18,0.403,0.412,0.405,0.394,0.396
19,0.42,0.444,0.428,0.439,0.429
20,0.458,0.463,0.428,0.442,0.437
21,0.457,0.481,0.482,0.47,0.479
22,0.5,0.478,0.49,0.49,0.514
23,0.526,0.535,0.496,0.5,0.483
24,0.542,0.532,0.559,0.531,0.524
25,0.579,0.555,0.582,0.53,0.544
26,0.593,0.576,0.586,0.596,0.565
27,0.606,0.597,0.624,0.602,0.591
28,0.648,0.614,0.644,0.599,0.626
29,0.649,0.641,0.648,0.638,0.648
30,0.66,0.669,0.65,0.674,0.667
